type,message
ham,College aa raha hai kya
ham,Bhai ghar kab aa raha hai
spam,Win ₹50000 now click here
ham,Aaj match dekhega kya
ham,Aaj movie chalna hai kya
spam,Dear customer account suspended verify now
spam,Update PAN details to avoid block
spam,Click here to verify account immediately
ham,Call kar jab free ho
ham,Call kar jab free ho
spam,Instant loan approval apply now
ham,Kal milte hain
spam,Send bank details to receive money
spam,Get 90 percent discount today
ham,Project complete ho gaya kya
spam,Click here to verify account immediately
ham,Bhai ghar kab aa raha hai
spam,Your account will be blocked update KYC
spam,Click here to verify account immediately
ham,Bhai kya kar raha hai
ham,Notes bhej de
ham,Call kar jab free ho
spam,Free recharge paane ke liye click kare
ham,Kal exam hai padhai karle
ham,Notes bhej de
ham,Khana kha liya kya
spam,Your OTP expired resend now
ham,Meeting 5 baje hai
ham,Khana kha liya kya
spam,Free recharge paane ke liye click kare
ham,Assignment complete kiya kya
ham,Bhai kya kar raha hai
spam,Win ₹50000 now click here
spam,Limited offer buy now hurry
ham,Notes bhej de
ham,Aaj movie chalna hai kya
spam,UPI verification ke liye link open kare
ham,Dinner kar liya kya
ham,Aaj match dekhega kya
spam,Act now limited time offer
ham,Khana kha liya kya
spam,You won iPhone claim now
ham,Assignment complete kiya kya
spam,Click here to verify account immediately
spam,Update PAN details to avoid block
spam,Win cash prize send details
ham,Khana kha liya kya
spam,SIM will be blocked call now
spam,Get 90 percent discount today
ham,Aaj match dekhega kya
spam,Click here to claim refund
spam,Instant loan approval apply now
spam,Get 90 percent discount today
ham,Meeting 5 baje hai
ham,Bhai kya kar raha hai
ham,Aaj movie chalna hai kya
spam,Aapka bank account block hone wala hai update kare
ham,Bhai ghar kab aa raha hai
spam,Instant loan approval apply now
spam,Your account will be blocked update KYC
ham,Mummy ne bulaya hai
ham,Aaj match dekhega kya
spam,UPI verification ke liye link open kare
ham,Meeting 5 baje hai
spam,Instant loan approval apply now
spam,Free recharge today only
spam,SIM will be blocked call now
ham,Aaj match dekhega kya
ham,College aa raha hai kya
ham,Dinner kar liya kya
ham,Aaj match dekhega kya
ham,Bhai ghar kab aa raha hai
ham,Mummy ne bulaya hai
ham,Aaj movie chalna hai kya
spam,Free recharge paane ke liye click kare
spam,Aapne 25000 jeete hai details bheje
spam,Update PAN details to avoid block
spam,Free Netflix subscription click now
spam,You won iPhone claim now
spam,UPI verification ke liye link open kare
ham,Meeting 5 baje hai
ham,Dinner kar liya kya
ham,Project complete ho gaya kya
spam,Win cash prize send details
spam,Get 90 percent discount today
ham,Assignment complete kiya kya
ham,Dinner kar liya kya
spam,Send bank details to receive money
